Adj_Close,Close,High,Low,Open,Volume,date,stock_id
9750.96,9750.96,9820.86,9636.94,9799.2,2481794204,2020-02-20,^IXIC
9576.59,9576.59,9715.95,9542.33,9708.01,2459112566,2020-02-21,^IXIC
9221.28,9221.28,9322.88,9166.01,9188.44,2767719957,2020-02-24,^IXIC
8965.61,8965.61,9315.26,8940.49,9301.2,3079838134,2020-02-25,^IXIC
8980.77,8980.77,9148.32,8927.8,9011.55,3122737676,2020-02-26,^IXIC
8566.48,8566.48,8904.11,8562.05,8744.03,3920051047,2020-02-27,^IXIC
8567.37,8567.37,8591.82,8264.16,8269.74,230895336,2020-02-28,^IXIC
8952.17,8952.17,8952.81,8543.35,8667.14,3666745149,2020-03-02,^IXIC
8684.09,8684.09,9070.32,8602.89,8965.1,3718269718,2020-03-03,^IXIC
9018.09,9018.09,9019.96,8757.66,8834.1,3202105133,2020-03-04,^IXIC
8738.59,8738.59,8921.08,8677.39,8790.09,3360272236,2020-03-05,^IXIC
8575.62,8575.62,8612.36,8375.13,8469.02,3744248603,2020-03-06,^IXIC
7950.68,7950.68,8243.31,7943.16,7957.93,3901120550,2020-03-09,^IXIC
8344.25,8344.25,8347.4,7930.43,8219.76,3876274193,2020-03-10,^IXIC
7952.05,7952.05,8181.36,7853.43,8136.25,3767054015,2020-03-11,^IXIC
7201.8,7201.8,7712.33,7194.67,7398.58,21610261,2020-03-12,^IXIC
7874.88,7874.88,7875.93,7219.09,7610.39,4037407036,2020-03-13,^IXIC
6904.59,6904.59,7422.2,6882.86,7392.73,3984634638,2020-03-16,^IXIC
7334.78,7334.78,7406.23,6828.91,7072,4900000000,2020-03-17,^IXIC
6872.41,6872.41,7182.83,6872.41,7072,1987184083,2020-03-18,^IXIC
7150.58,7150.58,7341.38,6858.38,6996.45,4072546615,2020-03-19,^IXIC
6879.52,6879.52,7354.44,6854.67,7248.07,301586129,2020-03-20,^IXIC
6860.67,6860.67,6984.94,6631.42,6847.28,3667036647,2020-03-23,^IXIC
7417.86,7417.86,7418.37,7169.86,7196.15,3843891495,2020-03-24,^IXIC
7384.29,7384.29,7671.21,7276.4,7421.36,4078312710,2020-03-25,^IXIC
7797.54,7797.54,7809.82,7462.21,7462.21,3464861572,2020-03-26,^IXIC
7502.38,7502.38,7716.24,7491.13,7554.25,3487834320,2020-03-27,^IXIC
7774.15,7774.15,7784.35,7539.97,7583.46,3438389834,2020-03-30,^IXIC
7700.1,7700.1,7880.31,7642.86,7740.06,4059700000,2020-03-31,^IXIC
7360.58,7360.58,7566.37,7301.98,7459.5,3685510000,2020-04-01,^IXIC
7487.31,7487.31,7501.38,7307.95,7317.45,3204570526,2020-04-02,^IXIC
